"State","Total.SAT.Mean.Score","Grade.13.Offered","Ungraded.Classes.Offered","Operational.Schools","Total.Revenues","State.Revenues","Federal.Revenues","Total.Current.Expenditures..TE5.","Total.Revenues.per.Pupil","State.Revenues.per.Pupil","Federal.Revenues.per.Pupil","Total.Current.Expenditures.per.Pupil","X4th.Grade.Mean.Math.Score","X4th.Grade.Mean.Reading.Score","X8th.Grade.Mean.Math.Score","X8th.Grade.Mean.Reading.Score","Classroom.Teachers..FTE.","Meeting.All.State.Licensing.Certification.Requirements..Percent.","Classroom.Teachers.in.their.First.Year.of.Teaching..Percent.","Classroom.Teachers.in.their.Second.Year.of.Teaching..Percent.","Number.of.Schools","Total.Number.Operational.School.Districts.2022.23","Total.Number.Operational.Schools","Total.Number.Operational.Charter.Schools","American.Indian.Alaska.Native.Students","Asian.or.Asian.Pacific.Islander.Students","Hispanic.Students","Black.or.African.American.Students","White.Students","Nat..Hawaiian.or.Other.Pacific.Isl..Students","Two.or.More.Races.Students","Full.Time.Equivalent..FTE..Teachers","Pupil.Teacher.Ratio","Party.Voted.for.Last.Election.Cycle"
"New Jersey",1066,"No","Yes",2562,33682075901,15135460552,1299123855,30193908678,23856,10720,920,21385,"245.93",227.19,291.82,270.36,115483.96,98.5,6,5.1,5.1,698,2562,85,2748,141511,458302,203181,533258,2950,41193,117661.34,11.76,"Democrat"
"New Mexico",901,"No","No",890,4796238275,3274997596,687382589,3847754590,14481,9888,2075,11617,"231.11",207.56,268.77,251.7,22715.89,97.9,7.1,6.7,6.7,152,890,101,32366,3935,199786,5598,65511,383,7444,21571.55,14.6,"Democrat"
"New York",1039,"No","Yes",4812,76961931350,30327359261,3322728372,66108404992,29422,11594,1270,25273,"236.73",219.6,280.41,261.75,212869.46,99.5,4.3,3.6,3.6,1104,4812,342,18642,252056,739704,400490,1023173,5827,92225,215761,11.74,"Democrat"
"North Carolina",1127,"Yes","Yes",2716,16424984765,10298925143,1693263300,15452367316,10526,6600,1085,9903,"241.41",221.28,283.66,262.53,96967.64,99.7,5.4,6.1,6.1,354,2716,206,16214,61664,314590,382022,678903,2174,86155,99979.81,15.42,"Republican"
"North Dakota",1287,"No","No",511,1934394803,1058059055,203564467,1655922218,16649,9107,1752,14252,"242.93",221.18,285.56,263.23,8815.77,98.6,7.2,5.7,5.7,220,511,NA,9707,1646,7723,6302,87322,332,5476,9581.08,12.37,"Republican"
"Ohio",1044,"No","No",3632,26417646707,10763752412,1935360275,23199550922,15633,6370,1145,13729,"241.14",221.97,285.71,267.05,107480.19,99.3,6.2,4.2,4.2,1056,3632,334,2204,47491,123226,282459,1120031,1660,103568,102322.67,16.42,"Republican"
"Oklahoma",953,"No","No",1781,7570497390,3716206560,787325540,6611657035,10758,5281,1119,9395,"237.2",216.35,276.47,258.2,44899.41,98.5,7.1,6.1,6.1,596,1781,63,78568,15904,138993,55164,318745,3101,90607,42124.4,16.65,"Republican"
"Oregon",1125,"No","No",1286,9249697595,4914733849,582124496,7480233438,15875,8435,999,12838,"236.35",217.72,279.5,263.72,26821.84,99.6,6.3,3.5,3.5,222,1286,132,6505,22153,139543,12948,324090,4626,39738,30906.33,17.87,"Democrat"
"Pennsylvania",1078,"No","Yes",2936,34047550312,13058175513,2298077098,29748923822,19653,7537,1326,17172,"243.94",223.21,285.02,264.18,120147.72,99.5,4,3.5,3.5,787,2936,177,3072,75704,242486,244727,1039214,1440,86704,127037.02,13.33,"Democrat"
"Rhode Island",958,"No","No",316,2745635876,1166200773,219849628,2544538711,19126,8124,1531,17725,"239.34",220.19,275.67,262.15,11454,99.1,3.5,3.5,3.5,68,316,41,1027,4488,40369,12334,71776,196,7017,10785.53,12.74,"Democrat"
